id,timestamp,text,context,classification,confidence,toxicity_score,toxicity_confidence,toxicity_label,primary_emotion,emotion_intensity,intent,detected_issues,has_feedback,feedback_message,processing_time_ms,used_llm
1,2024-01-16 08:57:08,fr thats so cool,message,green,0.9,0.0,0.5,neither,joy,0.9986984729766846,positive,,no,,1496.7842102050781,no
2,2024-01-10 17:49:53,periodt,message,green,0.9,0.0,0.5,neither,anger,0.5051017999649048,neutral,,no,,100.46100616455078,no
3,2024-01-16 10:33:47,keep practicing,message,green,0.9,0.0,0.5,neither,joy,0.8930172324180603,positive,,no,,98.39200973510742,no
4,2024-01-12 17:09:20,good morning mom!,message,green,0.9,0.0,0.5,neither,joy,0.9951209425926208,positive,,no,,100.13604164123535,no
5,2024-01-24 11:29:26,youre very brave,message,green,0.9,0.0,0.5,neither,joy,0.9956082701683044,positive,,no,,94.93613243103027,no
6,2024-01-03 10:13:32,why do i get bullied?,search,green,0.9,0.0,0.5,neither,anger,0.9954036474227905,neutral,,no,,101.2580394744873,no
7,2024-01-09 13:29:56,tbh that sounds fun,message,green,0.9,0.0,0.5,neither,joy,0.9925669431686401,positive,,no,,94.62094306945801,no
8,2024-01-22 17:15:49,youre already brave,message,green,0.9,0.0,0.5,neither,joy,0.9970813393592834,positive,,no,,91.84598922729492,no
9,2024-01-07 19:55:39,tbh im kinda bored,message,green,0.9,0.0,0.5,neither,anger,0.6058130264282227,neutral,,no,,93.56403350830078,no
10,2024-01-14 13:27:56,what does hate mean?,search,green,0.9,0.0,0.5,neither,anger,0.9849243760108948,neutral,,no,,93.18685531616211,no
11,2024-01-08 18:05:20,say less im in,message,green,0.9,0.0,0.5,neither,anger,0.8623136878013611,neutral,,no,,99.56908226013184,no
12,2024-01-22 19:54:15,facts,message,green,0.9,0.0,0.5,neither,joy,0.44741013646125793,positive,,no,,94.44189071655273,no
13,2024-01-17 19:30:35,youre very kind,message,green,0.9,0.0,0.5,neither,joy,0.4325519800186157,positive,,no,,90.38496017456055,no
14,2024-01-09 10:02:50,you are good enough,message,green,0.9,0.0,0.5,neither,joy,0.9981552958488464,positive,,no,,92.27299690246582,no
15,2024-01-18 11:26:54,can we play together?,message,green,0.9,0.0,0.5,neither,joy,0.8052765727043152,positive,,no,,92.18573570251465,no
16,2024-01-13 17:50:31,what does weird mean?,search,green,0.9,0.0,0.5,neither,fear,0.5626480579376221,neutral,,no,,92.16499328613281,no
17,2024-01-10 15:33:33,how to stop crying,search,green,0.9,0.0,0.5,neither,sadness,0.9851452112197876,neutral,,no,,92.18096733093262,no
18,2024-01-16 08:17:50,tell a teacher or parent,message,green,0.9,0.0,0.5,neither,anger,0.7052763104438782,neutral,,no,,92.57793426513672,no
